"","code","coding_system","description","entity","list_name","upload_date"
"63","9iD0","Read","Somali - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"64","9iD1","Read","Nigerian - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"65","9iD2","Read","Black British - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"66","9iD3","Read","Mixed Black - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"67","9iD4","Read","Other Black or Black unspecified ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"68","9iE","Read","Chinese - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"69","9iF","Read","Other - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"70","9iF0","Read","Vietnamese - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"71","9iF1","Read","Japanese - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"72","9iF2","Read","Filipino - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"73","9iF3","Read","Malaysian - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"74","9iF4","Read","Buddhist - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"75","9iF5","Read","Hindu - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"76","9iF6","Read","Jewish - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"77","9iF7","Read","Muslim - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"78","9iF8","Read","Sikh - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"79","9iF9","Read","Arab - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"80","9iFA","Read","North African - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"81","9iFC","Read","Israeli - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"82","9iFD","Read","Iranian - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"83","9iFE","Read","Kurdish - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"84","9iFF","Read","Moroccan - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"85","9iFG","Read","Latin American - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
